task,category,tdc_dataset,endpoint_definition,prediction_type,label_or_unit,primary_source,source_note,known_noise_or_quality_limit,applicability_domain_limit,source_url
cyp2c9_veith,Metabolism,CYP2C9_Veith,CYP2C9 inhibition,binary classification,binary inhibitor label,Veith et al. 2009,High-throughput CYP inhibition profiling,Thresholded assay labels and screening artifacts limit mechanistic interpretation,Applicable to assay-defined inhibition rather than in vivo metabolism,https://tdcommons.ai/single_pred_tasks/adme/
cyp2d6_substrate_carbonmangels,Metabolism,CYP2D6_Substrate_CarbonMangels,CYP2D6 substrate status,binary classification,binary substrate label,Carbon-Mangels and Hutter 2011; admetSAR,Merged substrate and non-substrate information from multiple publications,Merged sources can use different substrate evidence and thresholds,CYP isoform overlap means cross-task molecular overlap must be filtered for transfer models,https://tdcommons.ai/single_pred_tasks/adme/
cyp2d6_veith,Metabolism,CYP2D6_Veith,CYP2D6 inhibition,binary classification,binary inhibitor label,Veith et al. 2009,High-throughput CYP inhibition profiling,Thresholded assay labels and screening artifacts limit mechanistic interpretation,Applicable to assay-defined inhibition rather than in vivo metabolism,https://tdcommons.ai/single_pred_tasks/adme/
cyp3a4_substrate_carbonmangels,Metabolism,CYP3A4_Substrate_CarbonMangels,CYP3A4 substrate status,binary classification,binary substrate label,Carbon-Mangels and Hutter 2011; admetSAR,Merged substrate and non-substrate information from multiple publications,Merged sources can use different substrate evidence and thresholds,CYP isoform overlap means cross-task molecular overlap must be filtered for transfer models,https://tdcommons.ai/single_pred_tasks/adme/
cyp3a4_veith,Metabolism,CYP3A4_Veith,CYP3A4 inhibition,binary classification,binary inhibitor label,Veith et al. 2009,High-throughput CYP inhibition profiling,Thresholded assay labels and screening artifacts limit mechanistic interpretation,Applicable to assay-defined inhibition rather than in vivo metabolism,https://tdcommons.ai/single_pred_tasks/adme/
clearance_hepatocyte_az,Excretion,Clearance_Hepatocyte_AZ,Human hepatocyte intrinsic clearance,regression,uL/min/10^6 cells,AstraZeneca 2016; ChEMBL,AstraZeneca-deposited hepatocyte clearance measurements,Cell preparation donor and protocol affect intrinsic clearance,Cross-assay transfer requires target-test identity exclusion,https://tdcommons.ai/single_pred_tasks/adme/
clearance_microsome_az,Excretion,Clearance_Microsome_AZ,Human liver microsome intrinsic clearance,regression,uL/min/mg protein,AstraZeneca 2016; ChEMBL,AstraZeneca-deposited microsome clearance measurements,Microsome and hepatocyte measurements are not interchangeable,Cross-assay transfer requires target-test identity exclusion,https://tdcommons.ai/single_pred_tasks/adme/
half_life_obach,Excretion,Half_Life_Obach,Human elimination half-life,regression,hours,Obach et al. 2008,Clinical pharmacokinetic compilation,Half-life reflects clearance distribution dosing and study context,Does not transfer directly to unrepresented populations or dosing regimens,https://tdcommons.ai/single_pred_tasks/adme/
ames,Toxicity,AMES,Bacterial reverse-mutation activity,binary classification,binary mutagenicity label,Xu et al. 2012,Aggregated Ames labels from four publications,Strain metabolic activation and protocol differences can affect labels,Bacterial mutagenicity does not represent all genotoxicity or human toxicity,https://tdcommons.ai/single_pred_tasks/tox/
dili,Toxicity,DILI,Drug-induced liver injury,binary classification,binary DILI label,Xu et al. 2015; US FDA NCTR,FDA NCTR-derived DILI collection,Clinical causality and exposure context are heterogeneous,Small benchmark does not represent the full mechanistic spectrum of liver injury,https://tdcommons.ai/single_pred_tasks/tox/
herg,Toxicity,hERG,hERG channel blockade,binary classification,binary blocker label,Wang et al. 2016,Curated hERG blocker collection,Assay platform thresholds and temperature can alter hERG measurements,Blockade labels do not directly quantify clinical arrhythmia risk,https://tdcommons.ai/single_pred_tasks/tox/
ld50_zhu,Toxicity,LD50_Zhu,Rat acute oral toxicity,regression,TDC transformed LD50 label,Zhu et al. 2009,Rat oral acute-toxicity compilation,Species route and protocol variability limit direct comparability,Rat acute oral toxicity is not a general human-toxicity endpoint,https://tdcommons.ai/single_pred_tasks/tox/
